brand,name,price,old_price,sizes
Altra,Кроссовки мужские Altra Olympus 6 Hike Low Gtx Brown/Taupe,26990,,"['42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48']"
Kayland,Ботинки женские Kayland Grand Tour Gtx Azure/Rose,18168,30280.0,"['37(1/2)', '38', '38(1/2)']"
Asolo,Ботинки женские Asolo Eldo Evo Mid Lth GV ML Dust,26190,,"['37(1/2)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42']"
Asolo,Ботинки женские Asolo Greenwood Pro GV Graphite/Danube Blue,35290,,"['37(1/2)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42', '42(1/2)', '43(1/3)']"
LOWA,Ботинки женские Lowa Randir Gtx Mid Grape/Berry,32480,,"['37(1/2)', '38', '39', '39(1/2)', '40', '41', '41(1/2)']"
Altra,Кроссовки женские Altra Timp 5 Hiker Gtx Black,14394,23990.0,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)']"
Bestard,Ботинки мужские Bestard Coto Ag Коричневые,16850,33700.0,"['42(1/2)', '43(1/4)', '44', '44(1/2)', '45(1/2)', '46']"
Mizuno,Кроссовки Mizuno Hyperwarp Pro White/Lightning Yellow/Hyper B,24990,,"['39', '40', '40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '47']"
Mizuno,Кроссовки Mizuno Wave Rider 10 White/Silver/Black,15192,18990.0,"['42(1/2)', '44(1/2)', '45', '46', '46(1/2)']"
Salomon,Кроссовки мужские Salomon Aero Blaze 3 Grvl Spicy Mustard/Vanilla Ice/Nautical Blue,18480,,"['41(1/3)', '42', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)']"
Altra,Кроссовки женские Altra Timp 6 Mint,21890,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42', '42(1/2)']"
Salomon,Кроссовки женские Salomon Genesis Iron/Vanilla Ice/Cyclamen,19980,,"['38', '39(1/3)', '40(2/3)', '41(1/3)']"
Meindl,Ботинки мужские Meindl Trento Gtx Dunkel Braun,29980,,"['41(1/2)', '42', '43', '44', '44(1/2)', '45', '46', '48(1/2)']"
Salomon,Ботинки мужские Salomon Quest 5 Gtx Asphalt/Black/Asphalt,28980,,"['41(1/3)', '42', '44', '45(1/3)', '46', '46(2/3)', '47(1/3)']"
Mizuno,Кроссовки мужские Mizuno Wave Inspire 22 Lightning Yellow/Dazzling Blue/Dazzling Blue,17490,,"['40(1/2)', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Anta,Кроссовки мужские Anta C10 Pro 2 Paper White/Red/Pink,35990,,"['41', '42', '42(1/2)', '43', '44', '45']"
LOWA,Ботинки женские Lowa Renegade Evo Gtx Mid Stone,28980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '41', '42']"
Saucony,Кроссовки женские Saucony Triumph 23 Gtx Shadow/Aloe,13188,21980.0,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '42(1/2)']"
Saucony,Кроссовки женские Saucony Endorphin Pro 5 White/Black,30980,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41']"
AKU,Ботинки женские AKU Ultra Light Micro Gtx Anthracite/Mint,15570,25950.0,"['37(1/2)', '39', '39(1/2)', '40', '42']"
Mizuno,Кроссовки Mizuno Wave Rebellion Pro 3 White/Baritone Blue/Fiery Cora,19192,23990.0,"['41', '42', '44', '44(1/2)', '45', '46']"
The North Face,Кроссовки мужские The North Face Offtrail TR Gtx New Taupe Green/Asphalt Grey,17390,,"['42', '43', '44', '45']"
LOWA,Ботинки мужские Lowa Renegade Evo Gtx Lo Black/Graphite,24980,,"['42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)']"
Mizuno,Кроссовки мужские Mizuno Wave Mujin 11 Dazzling Blue/Lightning Yellow/Estate Blue,17490,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
LOWA,Ботинки мужские Lowa Camino Evo Gtx W Brown/Graphite,36480,,"['42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)']"
The North Face,Кроссовки мужские The North Face Offtrail Hike Gtx Winslor Blue/Tnf Black,18390,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45(1/2)', '47']"
Hoka,Кроссовки женские Hoka Rincon 4 Washed Blue/Faded Navy,17980,,"['37(1/3)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42', '42(2/3)']"
Mizuno,Кроссовки мужские Mizuno Neo Vista 2 Reflecting Pond/White/Goblin Green,19990,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)']"
